"filename", "language", "Java", "Markdown", "comment", "blank", "total"
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\README.md", "Markdown", 0, 10, 0, 9, 19
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Cennik\Cennik.class", "Java", 34, 0, 0, 0, 34
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Cennik\CennikItem.class", "Java", 16, 0, 0, 0, 16
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Klient\Klient.class", "Java", 48, 0, 0, 0, 48
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Klient\Koszyk.class", "Java", 12, 0, 0, 0, 12
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Klient\ListaZyczen.class", "Java", 28, 0, 0, 1, 29
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Programy\Gatunki\Dramat.class", "Java", 6, 0, 0, 0, 6
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Programy\Gatunki\Komedia.class", "Java", 6, 0, 0, 0, 6
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Programy\Gatunki\Obyczaj.class", "Java", 6, 0, 0, 0, 6
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Programy\Gatunki\Sensacja.class", "Java", 7, 0, 0, 0, 7
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Programy\Program.class", "Java", 40, 0, 0, 0, 40
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\VODTest.class", "Java", 65, 0, 0, 0, 65
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Cennik\Cennik.java", "Java", 41, 0, 0, 13, 54
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Cennik\CennikItem.java", "Java", 41, 0, 0, 10, 51
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Klient\Klient.java", "Java", 92, 0, 0, 22, 114
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Klient\Koszyk.java", "Java", 10, 0, 0, 3, 13
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Klient\ListaZyczen.java", "Java", 42, 0, 0, 11, 53
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Gatunki\Dramat.java", "Java", 7, 0, 0, 2, 9
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Gatunki\Komedia.java", "Java", 7, 0, 0, 2, 9
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Gatunki\Obyczaj.java", "Java", 7, 0, 0, 2, 9
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Gatunki\Sensacja.java", "Java", 7, 0, 0, 2, 9
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Program.java", "Java", 69, 0, 1, 20, 90
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Programy.java", "Java", 1, 0, 16, 7, 24
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\VODTest.java", "Java", 48, 0, 40, 31, 119
"Total", "-", 640, 10, 57, 135, 842
